tempo	theta	ref	usig
5.340	50.075	50.000	41.655
5.341	49.674	50.000	41.655
5.342	49.785	50.000	41.655
5.343	49.853	50.000	41.655
5.344	50.194	50.000	41.655
5.345	50.247	50.000	41.655
5.346	50.287	50.000	41.655
5.347	50.326	50.000	41.655
5.348	50.355	50.000	41.655
5.349	50.079	50.000	41.655
5.350	49.886	50.000	41.655
5.351	49.972	50.000	41.655
5.352	50.043	50.000	41.655
5.353	50.168	50.000	41.655
5.354	50.326	50.000	41.655
5.355	50.158	50.000	41.655
5.356	50.276	50.000	41.655
5.357	50.287	50.000	41.655
5.358	50.394	50.000	41.655
5.359	50.376	50.000	41.655
5.360	49.975	50.000	41.655
5.361	50.412	50.000	41.655
5.362	50.430	50.000	41.655
5.363	50.441	50.000	41.655
5.364	50.501	50.000	41.655
5.365	50.437	50.000	41.655
5.366	50.458	50.000	41.655
5.367	50.383	50.000	41.655
5.368	50.330	50.000	41.655
5.369	50.351	50.000	41.655
5.370	50.355	50.000	41.655
5.371	50.376	50.000	41.655
5.372	50.330	50.000	41.655
5.373	50.473	50.000	41.655
5.374	50.412	50.000	41.655
5.375	50.441	50.000	41.655
5.376	50.401	50.000	41.655
5.377	50.355	50.000	41.655
5.378	50.373	50.000	41.655
5.379	50.398	50.000	41.655
5.380	50.326	50.000	41.655
5.381	50.319	50.000	41.655
5.382	50.315	50.000	41.655
5.383	50.337	50.000	41.655
5.384	50.297	50.000	41.655
5.385	50.262	50.000	41.655
5.386	50.226	50.000	41.655
5.387	50.190	50.000	41.655
5.388	50.126	50.000	41.655
5.389	50.194	50.000	41.655
5.390	50.308	50.000	41.655
5.391	49.725	50.000	41.655
5.392	49.914	50.000	41.655
5.393	49.707	50.000	41.655
5.394	49.664	50.000	41.655
5.395	49.853	50.000	41.655
5.396	49.961	50.000	41.655
5.397	49.997	50.000	41.655
5.398	49.968	50.000	41.655
5.399	50.179	50.000	41.655
5.400	50.197	50.000	41.655
5.401	50.262	50.000	41.655
5.402	50.262	50.000	41.655
5.403	50.222	50.000	41.655
5.404	50.276	50.000	41.655
5.405	50.365	50.000	41.655
5.406	50.222	50.000	41.655
5.407	50.215	50.000	41.655
5.408	50.262	50.000	41.655
5.409	50.330	50.000	41.655
5.410	50.326	50.000	41.655
5.411	50.355	50.000	41.655
5.412	50.330	50.000	41.655
5.413	50.398	50.000	41.655
5.414	50.305	50.000	41.655
5.415	50.330	50.000	41.655
5.416	50.305	50.000	41.655
5.417	50.283	50.000	41.655
5.418	50.204	50.000	41.655
5.419	50.194	50.000	41.655
5.420	50.222	50.000	41.655
5.421	50.215	50.000	41.655
5.422	50.258	50.000	41.655
5.423	50.365	50.000	41.655
5.424	50.340	50.000	41.655
5.425	49.596	50.000	41.655
5.426	49.288	50.000	41.655
5.427	49.664	50.000	41.655
5.428	49.871	50.000	41.655
5.429	50.032	50.000	41.655
5.430	49.989	50.000	41.655
5.431	49.341	50.000	41.655
5.432	49.474	50.000	41.655
5.433	49.800	50.000	41.655
5.434	49.986	50.000	41.655
5.435	49.689	50.000	41.655
5.436	49.714	50.000	41.655
5.437	49.964	50.000	41.655
5.438	50.040	50.000	41.655
5.439	49.617	50.000	41.655
5.440	49.807	50.000	41.655
5.441	49.785	50.000	41.655
5.442	49.964	50.000	41.655
5.443	50.197	50.000	41.655
5.444	50.133	50.000	41.655
5.445	50.115	50.000	41.655
5.446	50.079	50.000	41.655
5.447	50.147	50.000	41.655
5.448	50.147	50.000	41.655
5.449	50.183	50.000	41.655
5.450	50.158	50.000	41.655
5.451	50.186	50.000	41.655
5.452	50.265	50.000	41.655
5.453	50.326	50.000	41.655
5.454	50.272	50.000	41.655
5.455	50.290	50.000	41.655
5.456	50.226	50.000	41.655
5.457	50.244	50.000	41.655
5.458	50.097	50.000	41.655
5.459	50.118	50.000	41.655
5.460	50.201	50.000	41.655
5.461	50.176	50.000	41.655
5.462	50.158	50.000	41.655
5.463	50.215	50.000	41.655
5.464	50.347	50.000	41.655
5.465	50.319	50.000	41.655
5.466	50.265	50.000	41.655
5.467	50.194	50.000	41.655
5.468	50.190	50.000	41.655
5.469	50.229	50.000	41.655
5.470	50.226	50.000	41.655
5.471	50.186	50.000	41.655
5.472	50.265	50.000	41.655
5.473	50.326	50.000	41.655
5.474	50.272	50.000	41.655
5.475	50.254	50.000	41.655
5.476	50.211	50.000	41.655
5.477	50.179	50.000	41.655
5.478	50.032	50.000	41.655
5.479	50.122	50.000	41.655
5.480	50.186	50.000	41.655
5.481	49.524	50.000	41.655
5.482	49.205	50.000	41.655
5.483	49.434	50.000	41.655
5.484	49.821	50.000	41.655
5.485	50.015	50.000	41.655
5.486	50.090	50.000	41.655
5.487	50.179	50.000	41.655
5.488	50.140	50.000	41.655
5.489	50.208	50.000	41.655
5.490	50.233	50.000	41.655
5.491	50.247	50.000	41.655
5.492	50.305	50.000	41.655
5.493	50.308	50.000	41.655
