tempo	theta	ref	usig
11.000	51.109	30.000	41.545
11.001	51.591	30.000	41.545
11.002	51.551	30.000	41.545
11.003	51.608	30.000	41.545
11.004	51.605	30.000	41.545
11.005	51.637	30.000	41.545
11.006	51.601	30.000	41.545
11.007	51.644	30.000	41.545
11.008	51.591	30.000	41.545
11.009	51.616	30.000	41.545
11.010	51.591	30.000	41.545
11.011	51.651	30.000	41.545
11.012	51.626	30.000	41.545
11.013	51.623	30.000	41.545
11.014	51.626	30.000	41.545
11.015	51.601	30.000	41.545
11.016	51.145	30.000	11.545
11.017	51.080	30.000	41.545
11.018	51.255	30.000	41.545
11.019	51.451	30.000	41.545
11.020	51.608	30.000	11.545
11.021	51.598	30.000	11.545
11.022	51.601	30.000	11.545
11.023	51.616	30.000	11.545
11.024	51.541	30.000	11.545
11.025	51.530	30.000	11.545
11.026	51.548	30.000	11.545
11.027	51.580	30.000	11.545
11.028	51.605	30.000	11.545
11.029	51.594	30.000	11.545
11.030	51.583	30.000	11.545
11.031	51.548	30.000	11.545
11.032	51.573	30.000	11.545
11.033	51.583	30.000	11.545
11.034	51.641	30.000	11.545
11.035	51.523	30.000	11.545
11.036	51.601	30.000	11.545
11.037	51.669	30.000	11.545
11.038	51.555	30.000	11.545
11.039	51.548	30.000	11.545
11.040	51.587	30.000	11.545
11.041	51.580	30.000	11.545
11.042	51.648	30.000	11.545
11.043	51.648	30.000	11.545
11.044	51.583	30.000	11.545
11.045	51.562	30.000	11.545
11.046	51.591	30.000	11.545
11.047	51.566	30.000	11.545
11.048	51.619	30.000	11.545
11.049	51.558	30.000	11.545
11.050	51.566	30.000	11.545
11.051	51.591	30.000	11.545
11.052	51.544	30.000	11.545
11.053	51.548	30.000	11.545
11.054	51.580	30.000	11.545
11.055	51.587	30.000	11.545
11.056	51.576	30.000	11.545
11.057	51.573	30.000	11.545
11.058	51.594	30.000	11.545
11.059	51.605	30.000	11.545
11.060	51.555	30.000	11.545
11.061	51.558	30.000	11.545
11.062	51.598	30.000	11.545
11.063	51.580	30.000	11.545
11.064	51.576	30.000	11.545
11.065	51.551	30.000	11.545
11.066	51.544	30.000	11.545
11.067	51.576	30.000	11.545
11.068	51.566	30.000	11.545
11.069	51.555	30.000	11.545
11.070	51.612	30.000	11.545
11.071	51.612	30.000	11.545
11.072	51.591	30.000	11.545
11.073	51.601	30.000	11.545
11.074	51.591	30.000	11.545
11.075	51.558	30.000	11.545
11.076	51.569	30.000	11.545
11.077	51.598	30.000	11.545
11.078	51.558	30.000	11.545
11.079	51.580	30.000	11.545
11.080	51.594	30.000	11.545
11.081	51.551	30.000	11.545
11.082	51.594	30.000	11.545
11.083	51.583	30.000	11.545
11.084	51.576	30.000	11.545
11.085	51.537	30.000	11.545
11.086	51.569	30.000	71.545
11.087	51.626	30.000	71.545
11.088	51.377	30.000	71.545
11.089	51.409	30.000	71.545
11.090	51.544	30.000	71.545
11.091	51.608	30.000	71.545
11.092	51.608	30.000	71.545
11.093	51.616	30.000	71.545
11.094	51.558	30.000	71.545
11.095	51.045	30.000	71.545
11.096	50.638	30.000	71.545
11.097	50.684	30.000	71.545
11.098	50.767	30.000	71.545
11.099	51.070	30.000	71.545
11.100	51.323	30.000	71.545
11.101	51.198	30.000	71.545
11.102	51.034	30.000	71.545
11.103	51.266	30.000	71.545
11.104	51.466	30.000	71.545
11.105	51.537	30.000	71.545
11.106	51.541	30.000	71.545
11.107	51.633	30.000	71.545
11.108	51.537	30.000	71.545
11.109	51.601	30.000	71.545
11.110	51.405	30.000	71.545
11.111	51.512	30.000	71.545
11.112	51.576	30.000	71.545
11.113	51.537	30.000	71.545
11.114	51.573	30.000	71.545
11.115	51.576	30.000	71.545
11.116	51.623	30.000	71.545
11.117	51.591	30.000	71.545
11.118	51.616	30.000	71.545
11.119	51.598	30.000	71.545
11.120	51.655	30.000	71.545
11.121	51.598	30.000	71.545
11.122	51.605	30.000	71.545
11.123	51.605	30.000	71.545
11.124	51.662	30.000	71.545
11.125	51.555	30.000	71.545
11.126	51.612	30.000	11.545
11.127	51.580	30.000	11.545
11.128	51.195	30.000	11.545
11.129	50.784	30.000	11.545
11.130	50.824	30.000	11.545
11.131	51.041	30.000	11.545
11.132	51.448	30.000	11.545
11.133	51.498	30.000	11.545
11.134	51.023	30.000	11.545
11.135	50.920	30.000	11.545
11.136	51.369	30.000	11.545
11.137	51.530	30.000	11.545
11.138	51.605	30.000	11.545
11.139	51.591	30.000	11.545
11.140	51.623	30.000	11.545
11.141	51.608	30.000	11.545
11.142	51.644	30.000	11.545
11.143	51.605	30.000	11.545
11.144	51.555	30.000	11.545
11.145	51.551	30.000	11.545
11.146	51.587	30.000	11.545
11.147	51.573	30.000	11.545
11.148	51.562	30.000	11.545
11.149	51.566	30.000	11.545
11.150	51.605	30.000	11.545
11.151	51.601	30.000	11.545
11.152	51.598	30.000	11.545
11.153	51.633	30.000	11.545
11.154	51.630	30.000	11.545
11.155	51.594	30.000	11.545
11.156	51.576	30.000	11.545
11.157	51.583	30.000	11.545
11.158	51.519	30.000	11.545
11.159	51.159	30.000	11.545
11.160	51.366	30.000	11.545
11.161	51.462	30.000	11.545
11.162	51.519	30.000	11.545
11.163	51.562	30.000	11.545
11.164	51.569	30.000	11.545
11.165	51.598	30.000	11.545
11.166	51.655	30.000	11.545
11.167	51.651	30.000	11.545
11.168	51.270	30.000	41.545
11.169	51.173	30.000	41.545
11.170	51.441	30.000	41.545
11.171	51.473	30.000	41.545
11.172	51.501	30.000	41.545
11.173	51.509	30.000	41.545
11.174	51.587	30.000	41.545
11.175	51.591	30.000	41.545
11.176	51.601	30.000	41.545
11.177	51.569	30.000	41.545
11.178	51.587	30.000	41.545
11.179	51.633	30.000	41.545
11.180	51.651	30.000	41.545
11.181	51.598	30.000	41.545
11.182	51.587	30.000	41.545
11.183	51.598	30.000	41.545
11.184	51.573	30.000	41.545
11.185	51.601	30.000	41.545
11.186	51.583	30.000	41.545
11.187	51.569	30.000	41.545
11.188	51.594	30.000	41.545
11.189	51.573	30.000	41.545
11.190	51.619	30.000	41.545
11.191	51.626	30.000	41.545
11.192	51.648	30.000	41.545
11.193	51.544	30.000	41.545
11.194	51.466	30.000	41.545
11.195	51.566	30.000	41.545
11.196	51.462	30.000	41.545
11.197	51.516	30.000	41.545
11.198	51.480	30.000	41.545
11.199	51.548	30.000	41.545
11.200	51.608	30.000	41.545
11.201	51.558	30.000	41.545
11.202	51.591	30.000	41.545
11.203	51.598	30.000	41.545
11.204	51.612	30.000	41.545
11.205	51.594	30.000	41.545
11.206	51.637	30.000	41.545
11.207	51.573	30.000	41.545
11.208	51.580	30.000	41.545
11.209	51.587	30.000	41.545
11.210	51.576	30.000	41.545
11.211	51.505	30.000	11.545
11.212	51.516	30.000	11.545
11.213	51.583	30.000	11.545
11.214	51.644	30.000	11.545
11.215	51.591	30.000	11.545
11.216	51.580	30.000	11.545
11.217	51.551	30.000	11.545
11.218	51.587	30.000	11.545
11.219	51.141	30.000	11.545
11.220	51.248	30.000	11.545
11.221	51.052	30.000	11.545
11.222	51.373	30.000	11.545
11.223	51.476	30.000	11.545
11.224	51.544	30.000	11.545
